Trn# (Internal);OR_DEAL_NO;GID_ORG;TT deal number reference;Trn.Date;Date: Period value date;Counterpart;Instrument;Buy / Sell Flag (B/S);Nominal currency;Nominal amount;Price in display format;XSW Leg2 Price;Original Deal Contract Rate;Status (LIVE/MKT_OP/DEAD);AGENT;PURPOSE;Trader;CONTACT;Original Typology;Val status;NOS_ACC Credit;NOS_ACC Debit;SETL_MOD Credit;SETL_MOD Debit;
8830402;8828009;3041623;0;09/05/2016;09/05/2016;C_3456;USD/THB;B;USD;6395.71;35.05;35.1525;35.1525;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830409;8828006;3041620;0;09/05/2016;09/05/2016;C_3457;USD/THB;B;USD;39419.12;35.05;35.1525;35.1525;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830428;8828006;3041620;0;09/05/2016;09/05/2016;C_3457;USD/THB;B;USD;116;35.05;35.1525;35.1525;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830435;8820991;3034457;0;09/05/2016;09/05/2016;C_5137;USD/THB;B;USD;58126.27;35.0934;35.193;35.193;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831009;8753982;2965860;0;09/05/2016;09/05/2016;C_4033;USD/THB;B;USD;66358;34.807;34.807;34.807;LIVE;PHY;TT;CJT08153;uruchana;STRFWD;CONF;;;CORP;CORP;
8832064;8759284;2971321;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;1040246;34.9275;35.0075;35.0075;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8830444;8820991;3034457;0;09/05/2016;09/05/2016;C_5137;USD/THB;B;USD;122993.03;35.0934;35.193;35.193;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830464;8827982;3041596;0;09/05/2016;09/05/2016;C_5137;USD/THB;B;USD;198083.01;34.95;35.0525;35.0525;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830960;8754005;2965884;0;09/05/2016;09/05/2016;C_4033;USD/THB;B;USD;75272;34.829;34.829;34.829;LIVE;PHY;TT;CJT08153;uruchana;STRFWD;CONF;;;CORP;CORP;
8830979;8753982;2965860;0;09/05/2016;09/05/2016;C_4033;USD/THB;B;USD;56386.4;34.807;34.807;34.807;LIVE;PHY;TT;CJT08153;uruchana;STRFWD;CONF;;;CORP;CORP;
8831001;8753982;2965860;0;09/05/2016;09/05/2016;C_4033;USD/THB;B;USD;62643.5;34.807;34.807;34.807;LIVE;PHY;TT;CJT08153;uruchana;STRFWD;CONF;;;CORP;CORP;
8832095;8765689;2977879;0;09/05/2016;09/05/2016;C_292;USD/THB;B;USD;37484.67;35.154;35.235;35.235;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831140;8613709;2821622;0;09/05/2016;09/05/2016;C_23;USD/THB;B;USD;214485;36.1395;36.17;36.17;LIVE;FRC;IW;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8831156;8613709;2821622;0;09/05/2016;09/05/2016;C_23;USD/THB;B;USD;163775;36.1395;36.17;36.17;LIVE;SMK;TT;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8831161;8613709;2821622;0;09/05/2016;09/05/2016;C_23;USD/THB;B;USD;151175;36.1395;36.17;36.17;LIVE;SMK;TT;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8831163;8613709;2821622;0;09/05/2016;09/05/2016;C_23;USD/THB;B;USD;111548;36.1395;36.17;36.17;LIVE;SMK;TT;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8831168;8613709;2821622;0;09/05/2016;09/05/2016;C_23;USD/THB;B;USD;111548;36.1395;36.17;36.17;LIVE;SMK;TT;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8831946;8811692;3024885;0;09/05/2016;09/05/2016;C_7650;USD/THB;B;USD;20961;35.1566;35.25;35.25;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831963;8756619;2968587;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;2000000;34.928;35.0075;35.0075;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
